Area_Name,HR,lon,lat
Hollywood,17,-118.3387,34.1016
Central,22,-118.267,34.0347
77th Street,16,-118.3177,33.9746
Topanga,22,-118.6234,34.201
Hollenbeck,20,-118.2189,34.066
Topanga,17,-118.5859,34.1665
West Valley,14,-118.4689,34.1543
77th Street,23,-118.2915,33.9951
Hollenbeck,23,-118.1975,34.0175
Central,17,-118.261,34.0337
Newton,16,-118.2772,34.0155
Hollywood,10,-118.3463,34.0962
West Valley,12,-118.4836,34.1903
Northeast,10,-118.2995,34.1018
Hollenbeck,11,-118.1974,34.0236
Central,15,-118.2474,34.059
Hollenbeck,7,-118.2172,34.0784
Foothill,21,-118.4114,34.2844
Olympic,11,-118.3079,34.0654
West Valley,13,-118.536,34.1698
Harbor,14,-118.2955,33.7694
West Valley,17,-118.5501,34.1646
Wilshire,7,-118.3483,34.0623
Central,13,-118.2385,34.0472
Northeast,16,-118.2602,34.1185
Wilshire,16,-118.3482,34.0572
Topanga,16,-118.5975,34.1829
Hollywood,16,-118.3342,34.0944
Newton,11,-118.2517,34.0359
Van Nuys,15,-118.4187,34.137
N Hollywood,17,-118.3965,34.1486
Mission,6,-118.4606,34.3111
Olympic,10,-118.3053,34.0617
Northeast,15,-118.2862,34.0958
West Valley,17,-118.5011,34.2084
West LA,9,-118.5188,34.0279
Olympic,16,-118.2857,34.0637
N Hollywood,0,-118.3888,34.1867
Van Nuys,11,-118.4531,34.1794
West Valley,15,-118.5273,34.1723
Pacific,13,-118.4492,33.9921
77th Street,20,-118.2871,33.9965
N Hollywood,23,-118.4138,34.1504
77th Street,9,-118.3095,33.9819
Southeast,20,-118.2827,33.9519
Van Nuys,2,-118.4378,34.1903
West Valley,13,-118.5317,34.2207
Hollenbeck,10,-118.2124,34.0302
Pacific,1,-118.459,33.991
77th Street,15,-118.3002,33.9892
Devonshire,18,-118.5885,34.2282
West Valley,10,-118.5185,34.1801
Olympic,17,-118.2854,34.0524
Devonshire,8,-118.5273,34.2573
West LA,12,-118.5606,34.0401
Southwest,11,-118.2959,34.0273
West LA,18,-118.4488,34.0337
Olympic,17,-118.3004,34.0812
Hollywood,8,-118.3136,34.0918
Wilshire,23,-118.3245,34.0476
Mission,14,-118.4587,34.285
N Hollywood,14,-118.4052,34.2012
Hollenbeck,4,-118.2212,34.0528
Hollenbeck,23,-118.199,34.0489
Rampart,17,-118.2798,34.0517
77th Street,22,-118.3176,33.9891
Rampart,12,-118.271,34.0518
Northeast,1,-118.2417,34.0945
77th Street,11,-118.3089,33.9819
Rampart,16,-118.2805,34.0396
Van Nuys,16,-118.4487,34.1939
77th Street,7,-118.3089,34.0001
West Valley,12,-118.5375,34.1658
Topanga,13,-118.6233,34.1657
Rampart,5,-118.2868,34.0818
Southwest,15,-118.2827,34.0112
Northeast,1,-118.2212,34.0848
Harbor,10,-118.2749,33.7879
77th Street,17,-118.3333,33.989
West LA,8,-118.4916,34.1033
Southwest,17,-118.3581,34.0213
77th Street,20,-118.3177,33.9737
Pacific,18,-118.409,34.024
Hollenbeck,19,-118.2155,34.0423
Wilshire,16,-118.3392,34.0485
West LA,20,-118.4426,34.0548
Topanga,8,-118.5885,34.22
Topanga,9,-118.6364,34.1587
Wilshire,15,-118.3647,34.0426
Van Nuys,23,-118.4138,34.1518
Rampart,13,-118.2738,34.0613
Central,1,-118.2388,34.055
Olympic,15,-118.3004,34.0618
West LA,19,-118.4281,34.046
West Valley,22,-118.5535,34.1939
Devonshire,9,-118.5798,34.2536
N Hollywood,23,-118.4138,34.1549
N Hollywood,13,-118.4095,34.1849
77th Street,22,-118.3176,33.9891
N Hollywood,23,-118.4138,34.154
Wilshire,17,-118.3214,34.0618
Wilshire,1,-118.377,34.0716
Van Nuys,16,-118.4444,34.2012
Pacific,14,-118.3906,33.9523
N Hollywood,13,-118.4095,34.1849
Newton,16,-118.2339,34.0347
Rampart,10,-118.2684,34.0601
Newton,14,-118.2783,33.9892
Mission,23,-118.4404,34.2353
Olympic,17,-118.3163,34.0526
N Hollywood,3,-118.3855,34.1722
Northeast,20,-118.2707,34.118
Pacific,22,-118.3897,33.9759
Hollenbeck,22,-118.1907,34.0866
Van Nuys,18,-118.4312,34.1722
Central,17,-118.2681,34.0465
Van Nuys,7,-118.4137,34.1867
77th Street,9,-118.2739,33.9669
Pacific,8,-118.4095,33.942
77th Street,21,-118.3025,33.9628
West LA,7,-118.4454,34.0626
Wilshire,15,-118.3806,34.0736
Hollywood,9,-118.3125,34.0944
Rampart,16,-118.27,34.0473
Hollenbeck,9,-118.2089,34.0473
Newton,21,-118.2624,34.0114
Central,13,-118.2426,34.0568
Harbor,9,-118.2687,33.7797
Pacific,20,-118.4319,34.0016
Hollenbeck,2,-118.1801,34.0757
West LA,16,-118.4624,34.041
Topanga,12,-118.6055,34.1753
Central,18,-118.2439,34.0442
Foothill,18,-118.2713,34.2519
Hollywood,15,-118.331,34.1016
77th Street,11,-118.2695,33.9722
Foothill,12,-118.2905,34.235
West Valley,9,-118.5098,34.1611
Southeast,17,-118.2827,33.9528
Foothill,1,-118.3727,34.2309
Wilshire,9,-118.3425,34.0496
Southeast,10,-118.2462,33.9397
77th Street,16,-118.309,33.9468
Hollenbeck,12,-118.2036,34.0495
Hollenbeck,20,-118.1998,34.07
Olympic,17,-118.3122,34.0527
Southeast,10,-118.2789,33.9315
Newton,12,-118.2794,33.9892
West LA,12,-118.3991,34.055
West Valley,5,-118.536,34.1866
Olympic,5,-118.3103,34.0635
Newton,16,-118.2734,34.0323
Topanga,22,-118.6486,34.2275
Pacific,11,-118.4302,34.0035
Hollenbeck,17,-118.2084,34.0571
Van Nuys,11,-118.4662,34.1538
Southeast,15,-118.2848,33.9339
West Valley,16,-118.4837,34.2214
Topanga,17,-118.5976,34.2355
Topanga,21,-118.5887,34.1848
N Hollywood,22,-118.3965,34.1545
N Hollywood,8,-118.3965,34.1959
Olympic,7,-118.2936,34.0473
Van Nuys,19,-118.4149,34.1576
77th Street,10,-118.3003,33.9778
Hollenbeck,10,-118.2093,34.0574
Southwest,18,-118.2759,34.0332
Central,15,-118.2399,34.0649
Central,13,-118.2488,34.0538
Rampart,12,-118.2868,34.0846
Newton,17,-118.2488,34.0264
77th Street,12,-118.285,33.9622
Mission,12,-118.4355,34.2353
Southeast,12,-118.2782,33.9237
Wilshire,7,-118.3248,34.0762
Central,0,-118.2657,34.0316
77th Street,19,-118.3308,33.9909
Central,14,-118.2652,34.0437
Olympic,23,-118.2849,34.0382
Olympic,10,-118.2878,34.0608
West Valley,19,-118.536,34.1939
Hollenbeck,17,-118.2115,34.0222
Olympic,17,-118.3091,34.0635
N Hollywood,17,-118.3703,34.194
Central,3,-118.2499,34.0673
Wilshire,22,-118.3678,34.0354
Wilshire,0,-118.3458,34.0606
Olympic,13,-118.3041,34.0436
Southwest,10,-118.3263,34.0082
Pacific,17,-118.4167,33.9633
Hollenbeck,13,-118.2051,34.0436
Mission,14,-118.4729,34.2356
Rampart,13,-118.2513,34.0632
West Valley,17,-118.5273,34.2084
Harbor,6,-118.2657,33.791
Harbor,12,-118.2787,33.7703
Hollywood,17,-118.3337,34.0987
Olympic,11,-118.2916,34.0526
Southeast,18,-118.2543,33.9295
Van Nuys,4,-118.4488,34.2048
Southwest,14,-118.3348,34.0146
Hollenbeck,16,-118.2034,34.0537
West LA,23,-118.4602,34.0419
Southwest,14,-118.3578,34.0009
Northeast,13,-118.275,34.0954
Southwest,5,-118.3045,34.0109
West Valley,15,-118.5186,34.218
Mission,13,-118.4488,34.2216
77th Street,5,-118.3113,33.9933
Hollywood,17,-118.3342,34.0944
Northeast,20,-118.3119,34.1538
N Hollywood,14,-118.4052,34.1903
Newton,18,-118.2745,34.0305
Southwest,12,-118.3466,34.03
Devonshire,15,-118.5023,34.2575
77th Street,8,-118.2959,33.9996
Van Nuys,12,-118.4183,34.1459
Topanga,8,-118.5667,34.2203
Devonshire,19,-118.5568,34.2204
Hollywood,14,-118.3405,34.098
West Valley,16,-118.5536,34.2205
Devonshire,1,-118.5605,34.2537
Pacific,17,-118.4656,33.9798
Van Nuys,14,-118.4487,34.1939
Van Nuys,17,-118.4313,34.2012
Rampart,3,-118.3005,34.0886
Devonshire,16,-118.5361,34.2555
N Hollywood,17,-118.3659,34.1791
West Valley,2,-118.5417,34.2057
Van Nuys,11,-118.4487,34.1867
Southeast,1,-118.2426,33.9363
Newton,13,-118.2535,34.0104
Southeast,16,-118.2916,33.9289
Foothill,16,-118.3938,34.2736
Rampart,16,-118.2724,34.0565
West LA,18,-118.4652,34.046
Central,16,-118.2558,34.0396
Northeast,15,-118.2634,34.1072
West LA,15,-118.4484,34.0448
Hollywood,9,-118.355,34.1017
Southeast,11,-118.2865,33.9019
Devonshire,18,-118.4936,34.2575
Topanga,11,-118.6322,34.2082
Olympic,21,-118.309,34.0427
Harbor,14,-118.2924,33.7334
N Hollywood,21,-118.3615,34.1522
Hollenbeck,7,-118.2257,34.0365
West LA,12,-118.3795,34.054
West Valley,16,-118.5011,34.1722
Northeast,14,-118.1933,34.1457
Southwest,8,-118.3349,34.0182
77th Street,9,-118.3255,33.9836
Van Nuys,15,-118.4574,34.1794
West Valley,18,-118.5273,34.1993
Hollywood,20,-118.3615,34.0981
West LA,12,-118.4428,34.0919
Topanga,22,-118.6426,34.1898
Pacific,20,-118.3855,33.9599
Pacific,14,-118.4679,33.9917
Devonshire,18,-118.5405,34.2428
Wilshire,20,-118.344,34.0689
Olympic,21,-118.3046,34.0799
Southwest,13,-118.2959,34.0255
Pacific,13,-118.4095,33.942
Southeast,17,-118.2871,33.9024
Rampart,22,-118.2823,34.0491
Devonshire,10,-118.5566,34.2748
Newton,3,-118.2772,34.0155
N Hollywood,12,-118.379,34.1867
Southwest,13,-118.3177,34.0309
77th Street,12,-118.309,33.9746
Southwest,0,-118.2871,34.0037
77th Street,22,-118.309,33.9746
West LA,1,-118.459,34.0472
Hollenbeck,4,-118.2192,34.0486
77th Street,11,-118.2918,33.9746
Mission,0,-118.4324,34.248
Van Nuys,13,-118.44,34.1867
West LA,16,-118.5269,34.048
Rampart,3,-118.2967,34.079
Newton,0,-118.263,34.0189
Hollenbeck,0,-118.1969,34.0527
West LA,7,-118.4379,34.0402
West LA,15,-118.4602,34.0419
Mission,1,-118.4502,34.2427
77th Street,17,-118.285,33.9727
Mission,0,-118.4633,34.2283
Rampart,4,-118.2727,34.063
Wilshire,19,-118.3774,34.0373
Newton,23,-118.2739,33.9791
Topanga,12,-118.5906,34.2083
Mission,4,-118.4299,34.2361
Southeast,12,-118.2462,33.9389
Wilshire,12,-118.3764,34.0711
Southeast,18,-118.2826,33.931
Central,2,-118.2631,34.0483
Newton,2,-118.2471,34.0201
Olympic,21,-118.3091,34.0672
Hollywood,19,-118.3615,34.0981
Olympic,10,-118.3029,34.0617
Southeast,16,-118.2541,33.9433
Harbor,9,-118.2828,33.7907
N Hollywood,20,-118.4094,34.1683
Foothill,20,-118.2817,34.2462
Olympic,19,-118.3066,34.0617
77th Street,19,-118.2812,33.9747
Central,23,-118.2612,34.0479
Rampart,18,-118.2779,34.057
Rampart,7,-118.2725,34.0564
Foothill,15,-118.3919,34.2166
